AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
21,Female,Further,White,26,7,39,English,R_2bHSx4UibI9U2id,PSYC304.jg
19,Male,Secondary,White,28,11,52,English,R_sk7gkkRYBMiTiz7,PSYC304.jg
27,Prefer-not-to-say,Higher,White,38,11,50,English,R_1dADXvrs5CBQuw1,PSYC304.jg
20,Female,Further,White,33,8,57,English,R_PNcHAc8SqWPJiFP,PSYC304.jg
21,Female,Higher,White,30,7,47,English,R_1oBZ7DEdDMOjVFx,PSYC304.jg
20,Female,Further,Asian,39,8,61,Other,R_28O1YLhY8oKU86V,PSYC304.jg
21,Male,Further,White,40,10,52,English,R_01G3jLDBRT6PV3H,PSYC304.jg
50,Male,Further,White,33,12,46,English,R_2CUgTyfsECt4LwS,PSYC304.jg
20,Female,Further,Other,35,10,56,Other,R_1LZ26eAjKfsIRya,PSYC304.jg
51,Female,Secondary,White,33,8,59,English,R_3Gr1OkqaH55APQ7,PSYC304.jg
55,Male,Secondary,White,37,7,46,English,R_25zTeKk1gOqC393,PSYC304.jg
18,Female,Further,White,33,11,43,English,R_1gCTJgkDSe8eiLs,PSYC304.jg
51,Female,Higher,White,39,12,48,English,R_1mV5v5HQv5NXGbp,PSYC304.jg
21,Male,Further,White,35,7,44,English,R_BFxWh9lCQUTwzLj,PSYC304.jg
31,Female,Further,White,26,5,45,English,R_2EgXmaVJNSVaH80,PSYC304.jg
18,Female,Further,White,33,10,38,Other,R_1jwtTaZRTTOp3sv,PSYC304.jg
18,Female,Further,White,31,10,46,English,R_2wiO1YygKjVS8xh,PSYC304.jg
18,Male,Secondary,White,28,6,46,English,R_2S1sNfoiEd9Oz3S,PSYC304.jg
22,Male,Higher,Asian,37,8,47,Other,R_2tLK2jAvsxZCzRU,PSYC304.jg
18,Female,Further,White,23,10,42,English,R_3Of6hozjY1TgeMn,PSYC304.jg
19,Female,Further,White,32,8,41,English,R_2BgQOs9o32dXcoX,PSYC304.jg
18,Female,Further,White,37,11,59,English,R_pFN3f2NeynD090Z,PSYC304.jg
19,Female,Further,White,26,6,42,English,R_1cRLhPhR5HEiTTk,PSYC304.jg
19,Female,Further,Asian,34,7,45,English,R_2aWEZTzX0r4lk1H,PSYC304.jg
18,Female,Further,Mixed,28,8,45,English,R_1CBcemqHcgCbvLr,PSYC304.jg
46,Female,Higher,White,39,12,60,English,R_soQ6Evaz27CO169,PSYC304.jg
49,Female,Higher,White,39,12,56,English,R_bxDT9RyCsYL614R,PSYC304.jg
18,Female,Further,White,34,8,40,English,R_28SbiuuVWcKMOiH,PSYC304.jg
18,Male,Further,Asian,34,5,48,English,R_1DVkXLc0vyqN4Gp,PSYC304.jg
19,Female,Further,White,36,13,53,English,R_2b1wbJ0vorEmzjp,PSYC304.jg
19,Female,Further,White,33,9,45,English,R_2CHdn1XRd0gpMoH,PSYC304.jg
18,Female,Further,White,35,11,51,English,R_3sBs5Gp3ntqLdkW,PSYC304.jg
19,Female,Further,White,24,4,46,English,R_3oGbCmebT55JkIa,PSYC304.jg
21,Male,Further,White,34,10,58,English,R_1N4zIzAyzUnEjG1,PSYC304.jg
19,Female,Higher,White,34,9,43,English,R_31N5cED0r5BsrKf,PSYC304.jg
54,Female,Higher,White,40,11,63,English,R_1cSA2ZDK92om024,PSYC304.jg
43,Female,Further,White,33,8,57,English,R_37xIVjWBCqkCX73,PSYC304.jg
27,Female,Higher,White,35,13,57,English,R_3jZqokat5VsZ4Aw,PSYC304.jg
37,Female,Higher,White,36,9,48,English,R_1CE2aCugHPX3xFf,PSYC304.jg
33,Male,Higher,White,33,6,46,English,R_3KGuLImhk0TO745,PSYC304.jg
35,Female,Higher,White,35,8,48,English,R_3FIK2OqHS5LtEcS,PSYC304.jg
20,Male,Further,White,31,10,50,English,R_6hSBbQOU4glR5Id,PSYC304.jg
50,Male,Higher,White,35,10,51,English,R_PAl9Iih1UQ1RuDv,PSYC304.jg
55,Female,Higher,White,37,13,57,English,R_sSGhVKHcVbsYiTn,PSYC304.jg
47,Female,Higher,White,36,9,63,English,R_RxjwKAc66YCCq3v,PSYC304.jg
39,Female,Further,Asian,38,9,46,English,R_2QoHDg7WhPXUHcC,PSYC304.jg
20,Female,Further,White,32,9,45,English,R_1dLdt0f2QQ0RpmY,PSYC304.jg
20,Male,Further,White,34,10,52,English,R_3iD1zJwZ63tgKbv,PSYC304.jg
20,Female,Further,White,39,7,46,Other,R_ZmfrmF0G2PhxHUd,PSYC304.ml
20,Female,Further,White,31,11,56,Other,R_2YnN1LbJNr4cnsK,PSYC304.ml
44,Male,Higher,White,25,7,56,Other,R_3puxVtcgAdGEY2b,PSYC304.ml
31,Female,Further,White,31,7,45,Other,R_2ymFKpNMhtcsvBj,PSYC304.ml
20,Female,Further,White,38,10,52,Other,R_21huAxxLjBFX3Ii,PSYC304.ml
19,Male,Further,White,34,8,40,Other,R_Tq1F14xlmM4sovL,PSYC304.ml
33,Female,Higher,White,40,8,63,Other,R_12MEutsdCz1cyQy,PSYC304.ml
38,Male,Further,White,18,7,45,Other,R_3nxf6nJ88YKHtJ7,PSYC304.ml
63,Male,Higher,White,36,10,36,Other,R_2BfXxPeUm8GwT8p,PSYC304.ml
44,Male,Higher,White,17,5,49,Other,R_3KNF04WsJJjWeMB,PSYC304.ml
63,Female,Further,White,36,9,35,Other,R_szHwIU41p8IrXMZ,PSYC304.ml
37,Female,Further,White,32,11,53,English,R_1jJI9uu5ngDkcVx,PSYC304.ml
54,Female,Further,White,22,6,29,Other,R_25SifsJKpsqUt3L,PSYC304.ml
39,Female,Higher,White,22,5,48,Other,R_2f7ma3xwCVrthL6,PSYC304.ml
34,Female,Higher,White,25,4,63,Other,R_2P1B1g6CMGp6It6,PSYC304.ml
42,Female,Higher,White,19,5,43,Other,R_3kF05jPC3IaXEUV,PSYC304.ml
21,Female,Secondary,White,39,8,62,Other,R_21iGwXYBvmvz6iN,PSYC304.ml
19,Female,Further,White,36,9,56,Other,R_30p104ffEK0ec29,PSYC304.ml
31,Female,Further,White,20,6,60,Other,R_2ug0PfeMdOsQq7T,PSYC304.ml
39,Male,Further,White,21,9,44,Other,R_2rSnIbphMgC2v6R,PSYC304.ml
45,Female,Higher,White,15,4,49,Other,R_3fqs585rFjj40bl,PSYC304.ml
35,Female,Further,White,37,6,56,Other,R_71UHrGw7Wdx0jzX,PSYC304.ml
21,Female,Secondary,White,38,7,53,Other,R_PwDavb2YV3Hsrq9,PSYC304.ml
