participant_ID,mean.acc,mean.self,study,AGE,SHIPLEY,HLVA,FACTOR3,QRITOTAL,GENDER,EDUCATION,ETHNICITY
studytwo.74,0.9285714285714286,6.928571428571429,studytwo,40,38,14,44,13,Female,Higher,White
studytwo.75,0.6785714285714286,7.714285714285714,studytwo,38,40,7,54,12,Female,Further,White
studytwo.76,0.625,5.857142857142857,studytwo,47,35,10,62,9,Female,Higher,White
studytwo.77,0.6785714285714285,8.214285714285714,studytwo,60,34,9,53,8,Female,Secondary,White
studytwo.78,0.7678571428571429,6.785714285714286,studytwo,38,40,10,47,13,Female,Higher,White
studytwo.79,0.8035714285714286,6.428571428571429,studytwo,36,39,10,45,12,Male,Further,White
studytwo.8,0.9464285714285714,8.285714285714286,studytwo,29,40,11,47,18,Female,Higher,Asian
studytwo.80,0.8392857142857142,7.071428571428571,studytwo,22,30,9,51,12,Female,Higher,White
studytwo.81,0.8035714285714286,8,studytwo,53,36,12,46,15,Female,Higher,White
studytwo.82,0.8214285714285714,7.428571428571429,studytwo,41,34,10,52,13,Female,Further,White
studytwo.83,0.5714285714285715,4.714285714285714,studytwo,27,28,4,41,10,Female,Further,White
studytwo.84,0.7678571428571429,5.857142857142857,studytwo,29,38,8,51,13,Male,Higher,White
studytwo.85,0.8928571428571429,6.642857142857143,studytwo,18,38,11,49,16,Female,Further,Mixed
studytwo.86,0.9107142857142857,7.642857142857143,studytwo,28,35,13,49,15,Male,Further,White
studytwo.87,0.7678571428571429,7.785714285714286,studytwo,30,39,9,54,16,Female,Further,White
studytwo.88,0.8392857142857143,7.714285714285714,studytwo,22,39,9,40,16,Male,Further,White
studytwo.89,0.9285714285714286,7.857142857142857,studytwo,24,40,12,62,17,Male,Higher,Asian
studytwo.9,0.8035714285714285,7.357142857142857,studytwo,21,30,9,48,16,Female,Further,White
studytwo.90,0.7321428571428571,5.642857142857143,studytwo,26,36,10,34,9,Female,Further,White
studytwo.91,0.7857142857142858,7.857142857142857,studytwo,27,27,10,59,14,Female,Further,Asian
studytwo.92,0.8571428571428571,7.428571428571429,studytwo,49,38,7,62,16,Female,Secondary,White
studytwo.93,0.6785714285714286,5.071428571428571,studytwo,47,35,5,45,16,Male,Further,White
studytwo.94,0.8214285714285714,8.642857142857142,studytwo,29,39,12,62,14,Male,Further,White
studytwo.95,0.6964285714285715,9,studytwo,54,38,9,49,17,Female,Further,White
studytwo.96,0.7142857142857143,8.214285714285714,studytwo,24,25,5,51,14,Female,Further,White
studytwo.97,0.6785714285714285,7.5,studytwo,74,39,7,51,7,Male,Higher,White
studytwo.98,0.6071428571428571,6,studytwo,34,27,7,51,14,Female,Secondary,White
studytwo.99,0.875,6.785714285714286,studytwo,27,39,12,51,13,Male,Higher,White
