ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_1g6crttadTjWgMY,0.9,6.2,18,Female,Further,White,39,8,46,English,PSYC122
R_1Do1pogCuXE1We0,0.6,6.8,18,Female,Further,White,28,12,48,English,PSYC122
R_3Eyc0RIYODwm5iO,1,7.4,18,Female,Further,White,34,10,49,English,PSYC122
R_12PgNzdfzL8EByX,0.95,8,25,Female,Further,Mixed,40,8,43,English,PSYC122
R_22qOLncTLYQphi4,0.95,7.2,18,Female,Secondary,Asian,38,11,36,Other,PSYC122
R_3JdZ7rAun39lYSt,1,5.8,18,Female,Further,White,32,7,52,English,PSYC122
R_3fuTGE5oTmQjIw6,0.85,7.2,19,Female,Further,Asian,28,5,39,English,PSYC122
R_1pxHWFyjwJ7VNfw,0.85,6.8,18,Female,Further,Black,35,9,48,English,PSYC122
R_PTEJdKij0QzjAWZ,0.75,9,21,Female,Further,Asian,37,11,61,Other,PSYC122
R_3RjwkvI2VVSQlEO,0.9,7.2,19,Female,Further,White,38,11,45,English,PSYC122
R_0kCcMNrjhPjYhLr,0.85,7.4,18,Male,Further,White,33,9,55,English,PSYC122
R_3MQdBMR4WKOVEpe,0.7,4.8,20,Female,Further,White,39,9,45,Other,PSYC122
R_VWllCG9OHI1KSbf,0.85,7.8,19,Female,Further,White,29,8,44,English,PSYC122
R_2YzVLA6HYLyi2x1,0.9,8.4,18,Female,Further,White,38,9,39,English,PSYC122
R_10qKv1pN3DZeQwg,0.85,5,19,Female,Further,White,33,8,41,Other,PSYC122
R_sKW4OJnOlidPxrH,0.95,7.2,20,Female,Further,Asian,26,8,59,English,PSYC304.cs
R_27paPJzIutLoqk8,0.7,4.6,21,Female,Higher,Asian,26,6,51,Other,PSYC304.cs
R_1nW0lpFdfumlI1p,0.95,8.4,20,Male,Higher,Asian,27,4,50,Other,PSYC304.cs
R_31ZqPQpNEEapoW8,0.85,6.2,18,Female,Further,Asian,26,11,43,Other,PSYC304.cs
R_2whvE2IW90nj2P7,0.8,5,20,Female,Secondary,Asian,27,8,42,Other,PSYC304.cs
R_3CAxrri9clBT7sl,0.85,5.6,20,Female,Higher,Asian,39,10,39,Other,PSYC304.cs
R_UhyqGKcKJ8p4dDr,0.95,8,57,Female,Higher,Asian,39,8,45,Other,PSYC304.cs
R_1FnqgQlxslB298R,0.95,8,18,Male,Secondary,Asian,25,10,52,Other,PSYC304.cs
R_3dJGNr1UEEE3fl9,0.5,4.4,21,Male,Secondary,Asian,24,4,43,Other,PSYC304.cs
R_2Y6aKmGIeJhYCNc,0.75,5.2,21,Female,Secondary,Asian,22,7,42,Other,PSYC304.cs
R_eYaltNtJrPPXgoF,0.8,7.6,20,Female,Higher,Asian,37,8,46,Other,PSYC304.cs
R_1pmKyUPkrHg2rjr,0.95,9,52,Female,Higher,Asian,34,10,52,Other,PSYC304.cs
R_2tEW8N2eNJHwPJA,0.8,7.2,21,Female,Higher,Asian,26,8,44,Other,PSYC304.cs
R_3lM8w5XU7D1CGj3,0.5,4.2,20,Female,Secondary,Asian,26,9,40,Other,PSYC304.cs
R_pMA0LDHn8KbHNeN,0.9,7,22,Female,Secondary,Asian,35,11,48,Other,PSYC304.cs
R_3stxZFOfbrU4mHk,0.55,4.8,51,Female,Higher,Asian,32,8,36,Other,PSYC304.cs
R_1i9Ty6GnJIs6qMc,0.75,6.4,20,Female,Higher,Asian,28,8,49,Other,PSYC304.cs
R_3qvvV7lL3jm8XNP,0.95,8.4,19,Female,Secondary,Asian,40,8,53,Other,PSYC304.cs
R_265zBlSCe6PqIu2,0.9,7.4,49,Female,Higher,Asian,26,10,49,Other,PSYC304.cs
R_1po1DayReBfW3u4,0.85,6.4,19,Female,Secondary,Asian,37,10,41,Other,PSYC304.cs
R_1pssSXzph4D5IHW,1,8,53,Male,Higher,Asian,39,8,50,Other,PSYC304.cs
R_2qdsiKfgWqsn40x,0.8,5.4,21,Female,Secondary,Asian,23,4,34,Other,PSYC304.cs
R_3I4zcqoIHLLFx6q,0.85,3.8,24,Male,Higher,Asian,36,5,42,Other,PSYC304.cs
R_1ez0Etk9gSubiw0,0.85,4.8,27,Male,Higher,Asian,38,10,53,Other,PSYC304.cs
R_1jfBDhcO8uTKS7a,0.95,7.2,19,Female,Further,Asian,37,8,58,Other,PSYC304.cs
R_2vcX7u14rsLAfCa,0.75,5.2,19,Female,Secondary,White,24,4,43,English,PSYC304.jg
R_vYzUdLunFc0wl7H,0.85,4.8,40,Male,Secondary,White,36,8,27,English,PSYC304.jg
R_pcQphFanbDZMJRT,0.8,7.8,21,Male,Further,White,38,10,60,English,PSYC304.jg
R_1OHxHYQG0Tx6MZc,0.65,6.4,20,Male,Further,White,31,3,44,English,PSYC304.jg
R_1gBZQCucJz02z0K,0.9,6.8,21,Male,Further,White,34,6,49,English,PSYC304.jg
R_2WD2QTvD4pck0TH,0.85,8.4,20,Male,Higher,White,35,11,59,English,PSYC304.jg
